Gmina,Powiat,Województwo,Andrzej Sebastian DUDA,Rafał Kazimierz TRZASKOWSKI
gm. Kańczuga,przeworski,podkarpackie,4461,1621
gm. Przeworsk,przeworski,podkarpackie,6679,1301
gm. Sieniawa,przeworski,podkarpackie,2647,898
gm. Tryńcza,przeworski,podkarpackie,3879,586
gm. Zarzecze,przeworski,podkarpackie,3214,680
gm. Iwierzyce,ropczycko-sędziszowski,podkarpackie,3529,722
gm. Ostrów,ropczycko-sędziszowski,podkarpackie,3275,629
gm. Ropczyce,ropczycko-sędziszowski,podkarpackie,11240,3167
gm. Sędziszów Małopolski,ropczycko-sędziszowski,podkarpackie,10620,2514
gm. Wielopole Skrzyńskie,ropczycko-sędziszowski,podkarpackie,3851,572
m. Dynów,rzeszowski,podkarpackie,2454,846
gm. Błażowa,rzeszowski,podkarpackie,4675,1190
gm. Boguchwała,rzeszowski,podkarpackie,8059,3312
gm. Chmielnik,rzeszowski,podkarpackie,2942,890
gm. Dynów,rzeszowski,podkarpackie,2890,606
gm. Głogów Małopolski,rzeszowski,podkarpackie,7905,2942
gm. Hyżne,rzeszowski,podkarpackie,3467,568
gm. Kamień,rzeszowski,podkarpackie,3273,425
gm. Krasne,rzeszowski,podkarpackie,4371,2154
gm. Lubenia,rzeszowski,podkarpackie,2970,767
gm. Sokołów Małopolski,rzeszowski,podkarpackie,7930,1268
gm. Świlcza,rzeszowski,podkarpackie,6205,2374
gm. Trzebownisko,rzeszowski,podkarpackie,8636,3425
gm. Tyczyn,rzeszowski,podkarpackie,4219,1524
m. Sanok,sanocki,podkarpackie,10190,8008
gm. Besko,sanocki,podkarpackie,1685,472
gm. Bukowsko,sanocki,podkarpackie,2076,623
gm. Komańcza,sanocki,podkarpackie,1220,1046
gm. Sanok,sanocki,podkarpackie,6927,2072
gm. Tyrawa Wołoska,sanocki,podkarpackie,722,245
gm. Zagórz,sanocki,podkarpackie,4726,1793
gm. Zarszyn,sanocki,podkarpackie,3213,1343
m. Stalowa Wola,stalowowolski,podkarpackie,17580,11146
gm. Bojanów,stalowowolski,podkarpackie,3124,566
gm. Pysznica,stalowowolski,podkarpackie,3841,1472
gm. Radomyśl nad Sanem,stalowowolski,podkarpackie,2732,819
gm. Zaklików,stalowowolski,podkarpackie,3105,1119
gm. Zaleszany,stalowowolski,podkarpackie,4194,1354
gm. Czudec,strzyżowski,podkarpackie,5093,1314
gm. Frysztak,strzyżowski,podkarpackie,4155,1074
gm. Niebylec,strzyżowski,podkarpackie,5081,893
gm. Strzyżów,strzyżowski,podkarpackie,7415,2829
gm. Wiśniowa,strzyżowski,podkarpackie,3438,795
gm. Baranów Sandomierski,tarnobrzeski,podkarpackie,4752,1357
gm. Gorzyce,tarnobrzeski,podkarpackie,4470,1986
gm. Grębów,tarnobrzeski,podkarpackie,4082,1141
gm. Nowa Dęba,tarnobrzeski,podkarpackie,6398,2661
gm. Baligród,leski,podkarpackie,1318,653
gm. Cisna,leski,podkarpackie,872,2110
gm. Lesko,leski,podkarpackie,3780,2184
gm. Olszanica,leski,podkarpackie,1854,925
gm. Solina,leski,podkarpackie,3792,3183
m. Krosno,Krosno,podkarpackie,13354,10930
m. Przemyśl,Przemyśl,podkarpackie,16051,13047
m. Rzeszów,Rzeszów,podkarpackie,52529,51870
m. Tarnobrzeg,Tarnobrzeg,podkarpackie,12109,11274
m. Augustów,augustowski,podlaskie,8552,7363
gm. Augustów,augustowski,podlaskie,2242,749
gm. Bargłów Kościelny,augustowski,podlaskie,1773,539
gm. Lipsk,augustowski,podlaskie,1865,635
gm. Nowinka,augustowski,podlaskie,1273,1064
gm. Płaska,augustowski,podlaskie,919,1175
gm. Sztabin,augustowski,podlaskie,1759,788
gm. Choroszcz,białostocki,podlaskie,5058,3295
gm. Czarna Białostocka,białostocki,podlaskie,3242,2014
gm. Dobrzyniewo Duże,białostocki,podlaskie,3112,1727
gm. Gródek,białostocki,podlaskie,876,1686
gm. Juchnowiec Kościelny,białostocki,podlaskie,5176,3486
gm. Łapy,białostocki,podlaskie,8324,2924
gm. Michałowo,białostocki,podlaskie,1510,1592
gm. Poświętne,białostocki,podlaskie,1610,243
gm. Supraśl,białostocki,podlaskie,3887,5070
gm. Suraż,białostocki,podlaskie,921,300
gm. Turośń Kościelna,białostocki,podlaskie,2285,1329
gm. Tykocin,białostocki,podlaskie,2725,667
gm. Wasilków,białostocki,podlaskie,4495,4121
gm. Zabłudów,białostocki,podlaskie,2764,1754
gm. Zawady,białostocki,podlaskie,1136,199
m. Bielsk Podlaski,bielski,podlaskie,5285,6901
m. Brańsk,bielski,podlaskie,1640,331
gm. Bielsk Podlaski,bielski,podlaskie,1562,1495
gm. Boćki,bielski,podlaskie,1625,561
gm. Brańsk,bielski,podlaskie,2957,326
gm. Orla,bielski,podlaskie,525,799
gm. Rudka,bielski,podlaskie,971,229
gm. Wyszki,bielski,podlaskie,2039,342
m. Grajewo,grajewski,podlaskie,6114,3749
gm. Grajewo,grajewski,podlaskie,1961,623
gm. Radziłów,grajewski,podlaskie,1870,280
gm. Rajgród,grajewski,podlaskie,1610,1124
gm. Szczuczyn,grajewski,podlaskie,2287,815
gm. Wąsosz,grajewski,podlaskie,1402,272
m. Hajnówka,hajnowski,podlaskie,3668,6337
gm. Białowieża,hajnowski,podlaskie,516,1130
gm. Czeremcha,hajnowski,podlaskie,703,728
gm. Czyże,hajnowski,podlaskie,305,543
gm. Dubicze Cerkiewne,hajnowski,podlaskie,372,473
gm. Hajnówka,hajnowski,podlaskie,738,1092
gm. Kleszczele,hajnowski,podlaskie,560,614
gm. Narew,hajnowski,podlaskie,701,898
gm. Narewka,hajnowski,podlaskie,721,1204
m. Kolno,kolneński,podlaskie,3058,1552
gm. Grabowo,kolneński,podlaskie,1354,316
gm. Kolno,kolneński,podlaskie,3463,701
gm. Mały Płock,kolneński,podlaskie,1907,405
gm. Stawiski,kolneński,podlaskie,2351,464
gm. Turośl,kolneński,podlaskie,1941,517
gm. Jedwabne,łomżyński,podlaskie,2423,389
gm. Łomża,łomżyński,podlaskie,4210,1670
gm. Miastkowo,łomżyński,podlaskie,1723,307
gm. Nowogród,łomżyński,podlaskie,1519,567
gm. Piątnica,łomżyński,podlaskie,3759,1118
gm. Przytuły,łomżyński,podlaskie,961,93
gm. Śniadowo,łomżyński,podlaskie,2349,443
gm. Wizna,łomżyński,podlaskie,1733,347
gm. Zbójna,łomżyński,podlaskie,1572,462
gm. Goniądz,moniecki,podlaskie,1683,799
gm. Jasionówka,moniecki,podlaskie,926,303
gm. Jaświły,moniecki,podlaskie,1831,433
gm. Knyszyn,moniecki,podlaskie,1584,601
gm. Krypno,moniecki,podlaskie,1357,459
gm. Mońki,moniecki,podlaskie,4226,2222
gm. Trzcianne,moniecki,podlaskie,1721,306
m. Sejny,sejneński,podlaskie,1334,1437
gm. Giby,sejneński,podlaskie,999,899
gm. Krasnopol,sejneński,podlaskie,1163,863
gm. Puńsk,sejneński,podlaskie,815,1047
gm. Sejny,sejneński,podlaskie,1150,938
m. Siemiatycze,siemiatycki,podlaskie,3688,3274
gm. Drohiczyn,siemiatycki,podlaskie,2322,846
gm. Dziadkowice,siemiatycki,podlaskie,1106,273
gm. Grodzisk,siemiatycki,podlaskie,1546,505
gm. Mielnik,siemiatycki,podlaskie,690,690
gm. Milejczyce,siemiatycki,podlaskie,460,441
gm. Nurzec-Stacja,siemiatycki,podlaskie,893,701
gm. Perlejewo,siemiatycki,podlaskie,1169,261
gm. Siemiatycze,siemiatycki,podlaskie,1637,1097
gm. Dąbrowa Białostocka,sokólski,podlaskie,3823,1536
gm. Janów,sokólski,podlaskie,1359,575
gm. Korycin,sokólski,podlaskie,1061,398
gm. Krynki,sokólski,podlaskie,843,660
gm. Kuźnica,sokólski,podlaskie,1513,496
gm. Nowy Dwór,sokólski,podlaskie,1014,283
gm. Sidra,sokólski,podlaskie,1182,389
gm. Sokółka,sokólski,podlaskie,7213,4560
gm. Suchowola,sokólski,podlaskie,2455,788
gm. Szudziałowo,sokólski,podlaskie,839,444
gm. Bakałarzewo,suwalski,podlaskie,1025,554
gm. Filipów,suwalski,podlaskie,1517,609
gm. Jeleniewo,suwalski,podlaskie,1199,672
gm. Przerośl,suwalski,podlaskie,1059,354
gm. Raczki,suwalski,podlaskie,2062,847
gm. Rutka-Tartak,suwalski,podlaskie,877,453
gm. Suwałki,suwalski,podlaskie,2472,1954
gm. Szypliszki,suwalski,podlaskie,1191,729
gm. Wiżajny,suwalski,podlaskie,899,454
m. Wysokie Mazowieckie,wysokomazowiecki,podlaskie,3182,1663
gm. Ciechanowiec,wysokomazowiecki,podlaskie,3339,1098
gm. Czyżew,wysokomazowiecki,podlaskie,2934,636
gm. Klukowo,wysokomazowiecki,podlaskie,2409,296
gm. Kobylin-Borzymy,wysokomazowiecki,podlaskie,1755,181
gm. Kulesze Kościelne,wysokomazowiecki,podlaskie,1653,129
gm. Nowe Piekuty,wysokomazowiecki,podlaskie,1973,296
gm. Sokoły,wysokomazowiecki,podlaskie,2695,426
gm. Szepietowo,wysokomazowiecki,podlaskie,2884,784
gm. Wysokie Mazowieckie,wysokomazowiecki,podlaskie,2426,438
m. Zambrów,zambrowski,podlaskie,6472,3617
gm. Kołaki Kościelne,zambrowski,podlaskie,1284,165
gm. Rutki,zambrowski,podlaskie,2363,539
gm. Szumowo,zambrowski,podlaskie,2057,464
gm. Zambrów,zambrowski,podlaskie,3752,1239
m. Białystok,Białystok,podlaskie,70236,76702
m. Łomża,Łomża,podlaskie,17598,11390
m. Suwałki,Suwałki,podlaskie,17615,15471
gm. Borzytuchom,bytowski,pomorskie,791,727
gm. Bytów,bytowski,pomorskie,5685,6670
gm. Czarna Dąbrówka,bytowski,pomorskie,1818,1257
gm. Kołczygłowy,bytowski,pomorskie,1024,892
gm. Lipnica,bytowski,pomorskie,2036,1162
gm. Miastko,bytowski,pomorskie,3678,4666
gm. Parchowo,bytowski,pomorskie,1401,844
gm. Studzienice,bytowski,pomorskie,1109,1150
gm. Trzebielino,bytowski,pomorskie,740,785
gm. Tuchomie,bytowski,pomorskie,1093,873
m. Chojnice,chojnicki,pomorskie,8672,11031
gm. Brusy,chojnicki,pomorskie,5246,2681
gm. Chojnice,chojnicki,pomorskie,5138,5273
gm. Czersk,chojnicki,pomorskie,6703,3869
gm. Konarzyny,chojnicki,pomorskie,655,505
m. Człuchów,człuchowski,pomorskie,2518,4361
gm. Czarne,człuchowski,pomorskie,1935,2514
gm. Człuchów,człuchowski,pomorskie,2489,2228
gm. Debrzno,człuchowski,pomorskie,1808,1941
gm. Koczała,człuchowski,pomorskie,646,920
gm. Przechlewo,człuchowski,pomorskie,1515,1678
gm. Rzeczenica,człuchowski,pomorskie,945,824
m. Pruszcz Gdański,gdański,pomorskie,5066,10920
gm. Cedry Wielkie,gdański,pomorskie,1422,1755
gm. Kolbudy,gdański,pomorskie,3079,6648
gm. Pruszcz Gdański,gdański,pomorskie,5206,10864
gm. Przywidz,gdański,pomorskie,1442,1582
gm. Pszczółki,gdański,pomorskie,1981,2800
gm. Suchy Dąb,gdański,pomorskie,883,1019
gm. Trąbki Wielkie,gdański,pomorskie,2327,2545
gm. Chmielno,kartuski,pomorskie,2506,1876
gm. Kartuzy,kartuski,pomorskie,9028,8535
gm. Przodkowo,kartuski,pomorskie,2938,2109
gm. Sierakowice,kartuski,pomorskie,7616,3022
gm. Somonino,kartuski,pomorskie,3178,2116
gm. Stężyca,kartuski,pomorskie,3754,2668
gm. Sulęczyno,kartuski,pomorskie,2156,1551
gm. Żukowo,kartuski,pomorskie,8737,13190
m. Kościerzyna,kościerski,pomorskie,5383,6753
gm. Dziemiany,kościerski,pomorskie,1564,1129
gm. Karsin,kościerski,pomorskie,2195,1990
gm. Kościerzyna,kościerski,pomorskie,5056,4213
gm. Liniewo,kościerski,pomorskie,1472,925
gm. Lipusz,kościerski,pomorskie,1340,880
gm. Nowa Karczma,kościerski,pomorskie,2103,1418
gm. Stara Kiszewa,kościerski,pomorskie,2176,1587
m. Kwidzyn,kwidzyński,pomorskie,7276,10588
gm. Gardeja,kwidzyński,pomorskie,2174,1228
gm. Kwidzyn,kwidzyński,pomorskie,2602,2337
gm. Prabuty,kwidzyński,pomorskie,3072,2607
gm. Ryjewo,kwidzyński,pomorskie,1143,1191
gm. Sadlinki,kwidzyński,pomorskie,1576,996
m. Lębork,lęborski,pomorskie,6761,10323
m. Łeba,lęborski,pomorskie,2469,4442
gm. Cewice,lęborski,pomorskie,1864,1515
gm. Nowa Wieś Lęborska,lęborski,pomorskie,3019,3348
gm. Wicko,lęborski,pomorskie,1256,1805
m. Malbork,malborski,pomorskie,7056,11679
gm. Lichnowy,malborski,pomorskie,938,927
gm. Malbork,malborski,pomorskie,871,1316
gm. Miłoradz,malborski,pomorskie,846,730
gm. Nowy Staw,malborski,pomorskie,1439,1652
gm. Stare Pole,malborski,pomorskie,870,1152
m. Krynica Morska,nowodworski,pomorskie,1450,2678
gm. Nowy Dwór Gdański,nowodworski,pomorskie,3368,4706
gm. Ostaszewo,nowodworski,pomorskie,707,736
gm. Stegna,nowodworski,pomorskie,3267,5091
gm. Sztutowo,nowodworski,pomorskie,1242,2359
m. Hel,pucki,pomorskie,1094,2449
gm. Jastarnia,pucki,pomorskie,2728,6642
m. Puck,pucki,pomorskie,2298,3923
gm. Władysławowo,pucki,pomorskie,7855,15435
gm. Kosakowo,pucki,pomorskie,3052,6887
gm. Krokowa,pucki,pomorskie,4726,6823
gm. Puck,pucki,pomorskie,7650,6735
m. Ustka,słupski,pomorskie,4139,6571
gm. Damnica,słupski,pomorskie,1373,1200
gm. Dębnica Kaszubska,słupski,pomorskie,2026,2025
gm. Główczyce,słupski,pomorskie,1792,1683
gm. Kępice,słupski,pomorskie,1559,2104
gm. Kobylnica,słupski,pomorskie,2302,3615
gm. Potęgowo,słupski,pomorskie,1393,1378
gm. Słupsk,słupski,pomorskie,3214,5067
gm. Smołdzino,słupski,pomorskie,994,1271
gm. Ustka,słupski,pomorskie,3424,5350
gm. Czarna Woda,starogardzki,pomorskie,982,721
m. Skórcz,starogardzki,pomorskie,1024,723
m. Starogard Gdański,starogardzki,pomorskie,11389,11232
gm. Bobowo,starogardzki,pomorskie,1003,439
gm. Kaliska,starogardzki,pomorskie,1500,1135
gm. Lubichowo,starogardzki,pomorskie,1986,1629
gm. Osieczna,starogardzki,pomorskie,1056,496
gm. Osiek,starogardzki,pomorskie,803,783
gm. Skarszewy,starogardzki,pomorskie,3813,2789
gm. Skórcz,starogardzki,pomorskie,1554,603
gm. Smętowo Graniczne,starogardzki,pomorskie,1515,861
gm. Starogard Gdański,starogardzki,pomorskie,4419,3783
gm. Zblewo,starogardzki,pomorskie,3482,2279
m. Tczew,tczewski,pomorskie,12654,15883
gm. Gniew,tczewski,pomorskie,3803,2961
gm. Morzeszczyn,tczewski,pomorskie,940,557
gm. Pelplin,tczewski,pomorskie,4116,3155
gm. Subkowy,tczewski,pomorskie,1353,1189
gm. Tczew,tczewski,pomorskie,3337,3783
m. Reda,wejherowski,pomorskie,4720,8811
m. Rumia,wejherowski,pomorskie,9472,17162
m. Wejherowo,wejherowski,pomorskie,9981,14027
gm. Choczewo,wejherowski,pomorskie,1897,3714
gm. Gniewino,wejherowski,pomorskie,1743,1736
gm. Linia,wejherowski,pomorskie,2317,1000
gm. Luzino,wejherowski,pomorskie,4926,3110
gm. Łęczyce,wejherowski,pomorskie,3248,2374
gm. Szemud,wejherowski,pomorskie,4735,4795
gm. Wejherowo,wejherowski,pomorskie,6277,6867
gm. Dzierzgoń,sztumski,pomorskie,2016,1985
gm. Mikołajki Pomorskie,sztumski,pomorskie,934,565
gm. Stary Dzierzgoń,sztumski,pomorskie,941,693
gm. Stary Targ,sztumski,pomorskie,1302,1050
gm. Sztum,sztumski,pomorskie,3628,5146
m. Gdańsk,Gdańsk,pomorskie,81737,192349
m. Gdynia,Gdynia,pomorskie,41539,97194
m. Słupsk,Słupsk,pomorskie,16855,27695
m. Sopot,Sopot,pomorskie,6781,17579
m. Będzin,będziński,śląskie,11008,16750
m. Czeladź,będziński,śląskie,6213,9912
m. Wojkowice,będziński,śląskie,1994,3374
gm. Bobrowniki,będziński,śląskie,2867,3776
gm. Mierzęcice,będziński,śląskie,2006,2130
gm. Psary,będziński,śląskie,2636,4183
gm. Siewierz,będziński,śląskie,3685,3220
m. Sławków,będziński,śląskie,1885,1879
m. Szczyrk,bielski,śląskie,2193,1804
gm. Bestwina,bielski,śląskie,3312,3204
gm. Buczkowice,bielski,śląskie,3534,2641
gm. Czechowice-Dziedzice,bielski,śląskie,11476,12377
gm. Jasienica,bielski,śląskie,6790,6412
gm. Jaworze,bielski,śląskie,1502,2836
gm. Kozy,bielski,śląskie,3683,3643
gm. Porąbka,bielski,śląskie,5083,3518
gm. Wilamowice,bielski,śląskie,5854,3868
gm. Wilkowice,bielski,śląskie,3470,4189
m. Cieszyn,cieszyński,śląskie,6932,10918
m. Ustroń,cieszyński,śląskie,3986,6536
m. Wisła,cieszyński,śląskie,1691,4703
gm. Brenna,cieszyński,śląskie,3648,3133
gm. Chybie,cieszyński,śląskie,3151,1940
gm. Dębowiec,cieszyński,śląskie,1423,1607
gm. Goleszów,cieszyński,śląskie,2344,4670
gm. Hażlach,cieszyński,śląskie,2851,2661
gm. Istebna,cieszyński,śląskie,5084,1752
gm. Skoczów,cieszyński,śląskie,6750,6664
gm. Strumień,cieszyński,śląskie,4166,2872
gm. Zebrzydowice,cieszyński,śląskie,3861,2962
gm. Blachownia,częstochowski,śląskie,3068,3555
gm. Dąbrowa Zielona,częstochowski,śląskie,1437,692
gm. Janów,częstochowski,śląskie,2286,1181
gm. Kamienica Polska,częstochowski,śląskie,1473,1591
gm. Kłomnice,częstochowski,śląskie,4502,2756
gm. Koniecpol,częstochowski,śląskie,3406,1570
gm. Konopiska,częstochowski,śląskie,2874,2777
gm. Kruszyna,częstochowski,śląskie,1712,894
gm. Lelów,częstochowski,śląskie,2076,762
gm. Mstów,częstochowski,śląskie,3751,2236
gm. Mykanów,częstochowski,śląskie,5256,3164
gm. Olsztyn,częstochowski,śląskie,2466,2071
gm. Poczesna,częstochowski,śląskie,3476,3496
gm. Przyrów,częstochowski,śląskie,1360,621
gm. Rędziny,częstochowski,śląskie,2949,2233
gm. Starcza,częstochowski,śląskie,929,716
m. Knurów,gliwicki,śląskie,9449,8689
m. Pyskowice,gliwicki,śląskie,3521,4344
gm. Gierałtowice,gliwicki,śląskie,3485,3044
gm. Pilchowice,gliwicki,śląskie,2985,3085
gm. Rudziniec,gliwicki,śląskie,2580,2419
gm. Sośnicowice,gliwicki,śląskie,1813,2253
gm. Toszek,gliwicki,śląskie,2434,1844
gm. Wielowieś,gliwicki,śląskie,1531,976
gm. Kłobuck,kłobucki,śląskie,5474,5606
gm. Krzepice,kłobucki,śląskie,2992,1974
gm. Lipie,kłobucki,śląskie,2256,1111
gm. Miedźno,kłobucki,śląskie,2961,1220
gm. Opatów,kłobucki,śląskie,2127,1431
gm. Panki,kłobucki,śląskie,1569,1173
gm. Popów,kłobucki,śląskie,1972,1228
gm. Przystajń,kłobucki,śląskie,1812,1261
gm. Wręczyca Wielka,kłobucki,śląskie,5027,4141
m. Lubliniec,lubliniecki,śląskie,5613,6204
gm. Boronów,lubliniecki,śląskie,1035,687
gm. Ciasna,lubliniecki,śląskie,1865,1450
gm. Herby,lubliniecki,śląskie,1873,1768
gm. Kochanowice,lubliniecki,śląskie,1988,1173
gm. Koszęcin,lubliniecki,śląskie,3710,2344
gm. Pawonków,lubliniecki,śląskie,1775,1074
gm. Woźniki,lubliniecki,śląskie,3101,1794
m. Łaziska Górne,mikołowski,śląskie,5379,5511
m. Mikołów,mikołowski,śląskie,9226,12397
m. Orzesze,mikołowski,śląskie,6183,4818
gm. Ornontowice,mikołowski,śląskie,1962,1200
gm. Wyry,mikołowski,śląskie,2274,2333
m. Myszków,myszkowski,śląskie,8464,7563
gm. Koziegłowy,myszkowski,śląskie,4793,2867
gm. Niegowa,myszkowski,śląskie,2626,707
gm. Poraj,myszkowski,śląskie,2863,3264
gm. Żarki,myszkowski,śląskie,2818,1754
gm. Goczałkowice-Zdrój,pszczyński,śląskie,1977,1856
gm. Kobiór,pszczyński,śląskie,1633,1147
gm. Miedźna,pszczyński,śląskie,5794,2545
gm. Pawłowice,pszczyński,śląskie,6287,3032
gm. Pszczyna,pszczyński,śląskie,15581,12837
gm. Suszec,pszczyński,śląskie,4217,2225
m. Racibórz,raciborski,śląskie,11570,13139
gm. Kornowac,raciborski,śląskie,1713,885
gm. Krzanowice,raciborski,śląskie,1142,1051
gm. Krzyżanowice,raciborski,śląskie,2368,2339
gm. Kuźnia Raciborska,raciborski,śląskie,2208,2398
gm. Nędza,raciborski,śląskie,1674,1415
gm. Pietrowice Wielkie,raciborski,śląskie,1591,1294
gm. Rudnik,raciborski,śląskie,1270,802
gm. Czerwionka-Leszczyny,rybnicki,śląskie,12349,8048
gm. Gaszowice,rybnicki,śląskie,2832,2081
gm. Jejkowice,rybnicki,śląskie,1399,816
gm. Lyski,rybnicki,śląskie,2889,2219
gm. Świerklany,rybnicki,śląskie,4468,2136
m. Kalety,tarnogórski,śląskie,2285,1906
m. Miasteczko Śląskie,tarnogórski,śląskie,2188,1375
m. Radzionków,tarnogórski,śląskie,4645,3997
m. Tarnowskie Góry,tarnogórski,śląskie,13849,17957
gm. Krupski Młyn,tarnogórski,śląskie,861,835
gm. Ożarowice,tarnogórski,śląskie,1766,1585
gm. Świerklaniec,tarnogórski,śląskie,3144,3441
gm. Tworóg,tarnogórski,śląskie,2231,1810
gm. Zbrosławice,tarnogórski,śląskie,3369,3886
m. Bieruń,bieruńsko-lędziński,śląskie,6034,3887
m. Imielin,bieruńsko-lędziński,śląskie,2654,2244
m. Lędziny,bieruńsko-lędziński,śląskie,5624,2753
gm. Bojszowy,bieruńsko-lędziński,śląskie,3030,1485
gm. Chełm Śląski,bieruńsko-lędziński,śląskie,2072,1338
m. Pszów,wodzisławski,śląskie,4084,2623
m. Radlin,wodzisławski,śląskie,4604,3952
m. Rydułtowy,wodzisławski,śląskie,5675,4442
m. Wodzisław Śląski,wodzisławski,śląskie,12928,10701
gm. Godów,wodzisławski,śląskie,4718,2671
gm. Gorzyce,wodzisławski,śląskie,6404,4164
gm. Lubomia,wodzisławski,śląskie,2546,1239
gm. Marklowice,wodzisławski,śląskie,1844,965
gm. Mszana,wodzisławski,śląskie,3197,1092
m. Poręba,zawierciański,śląskie,2080,2538
m. Zawiercie,zawierciański,śląskie,12363,13101
gm. Irządze,zawierciański,śląskie,1295,417
gm. Kroczyce,zawierciański,śląskie,2296,1540
gm. Łazy,zawierciański,śląskie,4234,4181
gm. Ogrodzieniec,zawierciański,śląskie,2783,2384
gm. Pilica,zawierciański,śląskie,3610,1377
gm. Szczekociny,zawierciański,śląskie,3113,1366
gm. Włodowice,zawierciański,śląskie,1762,1202
gm. Żarnowiec,zawierciański,śląskie,2078,563
m. Żywiec,żywiecki,śląskie,8447,8116
gm. Czernichów,żywiecki,śląskie,2501,1611
gm. Gilowice,żywiecki,śląskie,2322,1120
gm. Jeleśnia,żywiecki,śląskie,5424,2303
gm. Koszarawa,żywiecki,śląskie,1146,371
gm. Lipowa,żywiecki,śląskie,3358,2421
gm. Łękawica,żywiecki,śląskie,1773,765
gm. Łodygowice,żywiecki,śląskie,4935,3416
gm. Milówka,żywiecki,śląskie,3939,1661
gm. Radziechowy-Wieprz,żywiecki,śląskie,5138,1831
gm. Rajcza,żywiecki,śląskie,3295,1653
gm. Ślemień,żywiecki,śląskie,1800,661
gm. Świnna,żywiecki,śląskie,2881,1633
gm. Ujsoły,żywiecki,śląskie,1751,891
gm. Węgierska Górka,żywiecki,śląskie,5539,2567
m. Bielsko-Biała,Bielsko-Biała,śląskie,39670,50815
m. Bytom,Bytom,śląskie,31525,37189
m. Chorzów,Chorzów,śląskie,19103,28939
m. Częstochowa,Częstochowa,śląskie,51415,64472
m. Dąbrowa Górnicza,Dąbrowa Górnicza,śląskie,25251,35820
m. Gliwice,Gliwice,śląskie,34512,54335
m. Jastrzębie-Zdrój,Jastrzębie-Zdrój,śląskie,26031,16900
m. Jaworzno,Jaworzno,śląskie,21273,24115
m. Katowice,Katowice,śląskie,57971,92727
m. Mysłowice,Mysłowice,śląskie,18013,18287
m. Piekary Śląskie,Piekary Śląskie,śląskie,14163,12762
m. Ruda Śląska,Ruda Śląska,śląskie,32879,31412
m. Rybnik,Rybnik,śląskie,35092,32667
m. Siemianowice Śląskie,Siemianowice Śląskie,śląskie,13192,18689
m. Sosnowiec,Sosnowiec,śląskie,41023,59432
m. Świętochłowice,Świętochłowice,śląskie,9969,11333
m. Tychy,Tychy,śląskie,29777,35454
m. Zabrze,Zabrze,śląskie,31315,38561
m. Żory,Żory,śląskie,15847,14527
gm. Busko-Zdrój,buski,świętokrzyskie,10712,7164
gm. Gnojno,buski,świętokrzyskie,2017,410
gm. Nowy Korczyn,buski,świętokrzyskie,2177,883
gm. Pacanów,buski,świętokrzyskie,2877,889
gm. Solec-Zdrój,buski,świętokrzyskie,2034,866
gm. Stopnica,buski,świętokrzyskie,2973,991
gm. Tuczępy,buski,świętokrzyskie,1495,423
gm. Wiślica,buski,świętokrzyskie,2065,714
gm. Imielno,jędrzejowski,świętokrzyskie,1901,543
gm. Jędrzejów,jędrzejowski,świętokrzyskie,9439,5306
gm. Małogoszcz,jędrzejowski,świętokrzyskie,4893,1380
gm. Nagłowice,jędrzejowski,świętokrzyskie,2123,546
gm. Oksa,jędrzejowski,świętokrzyskie,2063,549
gm. Sędziszów,jędrzejowski,świętokrzyskie,4729,1841
gm. Słupia (Jędrzejowska),jędrzejowski,świętokrzyskie,1782,448
gm. Sobków,jędrzejowski,świętokrzyskie,3534,1180
gm. Wodzisław,jędrzejowski,świętokrzyskie,2890,937
gm. Bejsce,kazimierski,świętokrzyskie,1327,504
gm. Czarnocin,kazimierski,świętokrzyskie,1482,425
gm. Kazimierza Wielka,kazimierski,świętokrzyskie,5292,2446
gm. Opatowiec,kazimierski,świętokrzyskie,1079,529
gm. Skalbmierz,kazimierski,świętokrzyskie,2628,658
gm. Bieliny,kielecki,świętokrzyskie,4475,1003
gm. Bodzentyn,kielecki,świętokrzyskie,4404,1666
gm. Chęciny,kielecki,świętokrzyskie,5651,2496
gm. Chmielnik,kielecki,świętokrzyskie,4376,1522
gm. Daleszyce,kielecki,świętokrzyskie,6152,2603
gm. Górno,kielecki,świętokrzyskie,6079,1996
gm. Łagów,kielecki,świętokrzyskie,2998,603
gm. Łopuszno,kielecki,świętokrzyskie,3945,1078
gm. Masłów,kielecki,świętokrzyskie,3819,2410
gm. Miedziana Góra,kielecki,świętokrzyskie,4048,2496
gm. Mniów,kielecki,świętokrzyskie,4171,977
gm. Morawica,kielecki,świętokrzyskie,5667,3417
gm. Nowa Słupia,kielecki,świętokrzyskie,3666,1227
gm. Piekoszów,kielecki,świętokrzyskie,6590,2423
gm. Pierzchnica,kielecki,świętokrzyskie,2020,577
gm. Raków,kielecki,świętokrzyskie,2461,804
gm. Sitkówka-Nowiny,kielecki,świętokrzyskie,2320,1841
gm. Strawczyn,kielecki,świętokrzyskie,4596,1338
gm. Zagnańsk,kielecki,świętokrzyskie,4605,2717
gm. Fałków,konecki,świętokrzyskie,2008,497
gm. Gowarczów,konecki,świętokrzyskie,1924,584
gm. Końskie,konecki,świętokrzyskie,12073,7609
gm. Radoszyce,konecki,świętokrzyskie,3784,860
gm. Ruda Maleniecka,konecki,świętokrzyskie,1380,556
Słupia Konecka,konecki,świętokrzyskie,1412,382
gm. Smyków,konecki,świętokrzyskie,1772,486
