Gmina,Powiat,Województwo,Robert BIEDROŃ,Krzysztof BOSAK,Andrzej Sebastian DUDA,Szymon Franciszek HOŁOWNIA,Marek JAKUBIAK,Władysław Marcin KOSINIAK-KAMYSZ,Mirosław Mariusz PIOTROWSKI,Paweł Jan TANAJNO,Rafał Kazimierz TRZASKOWSKI,Waldemar Włodzimierz WITKOWSKI,Stanisław Józef ŻÓŁTEK
gm. Ślemień,żywiecki,śląskie,17,188,1337,195,3,34,2,3,325,1,3
gm. Świnna,żywiecki,śląskie,67,380,2380,479,6,90,3,2,897,6,9
gm. Ujsoły,żywiecki,śląskie,39,147,1394,256,1,52,1,2,471,1,3
gm. Węgierska Górka,żywiecki,śląskie,83,599,4770,864,13,144,3,12,1381,4,20
m. Bielsko-Biała,Bielsko-Biała,śląskie,2015,6049,33075,14208,164,1431,116,140,31893,137,198
m. Bytom,Bytom,śląskie,1822,4603,25749,10942,103,1251,77,111,22239,111,166
m. Chorzów,Chorzów,śląskie,1358,3364,15629,7972,40,803,60,93,18011,82,143
m. Częstochowa,Częstochowa,śląskie,2970,6800,42963,16021,185,2057,118,177,41522,158,255
m. Dąbrowa Górnicza,Dąbrowa Górnicza,śląskie,1876,3593,21068,9084,90,1087,54,74,22686,118,150
m. Gliwice,Gliwice,śląskie,2169,6634,28425,14415,147,1645,100,145,34795,151,230
m. Jastrzębie-Zdrój,Jastrzębie-Zdrój,śląskie,846,3502,21181,5525,75,600,38,54,9782,49,108
m. Jaworzno,Jaworzno,śląskie,1166,3639,17364,6843,67,837,29,52,14254,52,100
m. Katowice,Katowice,śląskie,4493,9370,48486,22649,236,2815,165,266,60860,277,426
m. Mysłowice,Mysłowice,śląskie,1004,2485,14999,5320,67,627,31,68,11137,41,94
m. Piekary Śląskie,Piekary Śląskie,śląskie,553,1588,11924,4129,28,402,31,36,7371,34,67
m. Ruda Śląska,Ruda Śląska,śląskie,1464,4694,26652,10781,104,1058,70,91,17867,110,157
m. Rybnik,Rybnik,śląskie,1131,5472,28912,9766,110,1070,90,137,19707,72,167
m. Siemianowice Śląskie,Siemianowice Śląskie,śląskie,897,2257,11146,5494,48,580,29,56,11500,58,80
m. Sosnowiec,Sosnowiec,śląskie,3172,6040,34564,14087,129,1722,87,147,38883,201,220
m. Świętochłowice,Świętochłowice,śląskie,544,1497,8304,3494,25,347,22,45,6834,33,51
m. Tychy,Tychy,śląskie,1634,4782,24926,10238,133,1171,67,111,21985,90,185
m. Zabrze,Zabrze,śląskie,1997,5113,25258,11162,93,1298,74,149,23430,111,182
m. Żory,Żory,śląskie,577,2474,13003,5110,37,481,28,38,8056,27,88
gm. Busko-Zdrój,buski,świętokrzyskie,292,1059,8828,1710,31,498,12,19,3995,11,19
gm. Gnojno,buski,świętokrzyskie,27,107,1652,146,6,75,1,1,184,0,5
gm. Nowy Korczyn,buski,świętokrzyskie,27,139,1786,186,5,251,2,2,387,0,3
gm. Pacanów,buski,świętokrzyskie,55,161,2298,268,7,197,4,2,388,3,6
gm. Solec-Zdrój,buski,świętokrzyskie,28,117,1632,234,2,168,1,2,399,1,10
gm. Stopnica,buski,świętokrzyskie,25,180,2374,279,4,175,0,2,492,1,4
gm. Tuczępy,buski,świętokrzyskie,26,97,1236,180,1,56,1,3,189,2,3
gm. Wiślica,buski,świętokrzyskie,35,151,1727,182,4,92,0,1,376,1,8
gm. Imielno,jędrzejowski,świętokrzyskie,26,113,1489,146,2,122,2,0,198,1,4
gm. Jędrzejów,jędrzejowski,świętokrzyskie,210,810,7798,1454,18,393,8,9,3181,15,21
gm. Małogoszcz,jędrzejowski,świętokrzyskie,62,445,4081,416,11,135,4,4,699,4,9
gm. Nagłowice,jędrzejowski,świętokrzyskie,35,149,1662,151,1,76,1,5,252,2,0
gm. Oksa,jędrzejowski,świętokrzyskie,17,150,1678,150,6,131,1,0,225,2,4
gm. Sędziszów,jędrzejowski,świętokrzyskie,90,338,3863,580,9,221,10,4,1006,2,10
gm. Słupia (Jędrzejowska),jędrzejowski,świętokrzyskie,34,83,1401,121,3,140,0,2,186,1,2
gm. Sobków,jędrzejowski,świętokrzyskie,50,335,2911,354,4,138,5,0,562,6,4
gm. Wodzisław,jędrzejowski,świętokrzyskie,43,194,2396,285,1,190,5,1,390,2,5
gm. Bejsce,kazimierski,świętokrzyskie,18,79,1080,129,3,96,2,2,239,2,1
gm. Czarnocin,kazimierski,świętokrzyskie,16,84,1175,112,2,157,0,1,157,1,1
gm. Kazimierza Wielka,kazimierski,świętokrzyskie,94,407,4347,573,2,321,2,4,1353,5,9
gm. Opatowiec,kazimierski,świętokrzyskie,32,92,845,120,0,140,0,1,264,0,5
gm. Skalbmierz,kazimierski,świętokrzyskie,29,164,2064,206,0,230,6,2,261,0,4
gm. Bieliny,kielecki,świętokrzyskie,56,481,3527,362,6,113,4,2,410,0,11
gm. Bodzentyn,kielecki,świętokrzyskie,68,369,3573,564,13,200,1,6,723,2,19
gm. Chęciny,kielecki,świętokrzyskie,111,716,4591,811,20,189,12,4,1400,5,27
gm. Chmielnik,kielecki,świętokrzyskie,87,390,3652,480,11,115,5,5,750,8,12
gm. Daleszyce,kielecki,świętokrzyskie,91,686,5024,781,19,166,6,18,1427,3,20
gm. Górno,kielecki,świętokrzyskie,95,657,4864,709,11,159,10,5,963,5,13
gm. Łagów,kielecki,świętokrzyskie,25,221,2339,180,3,150,3,1,230,0,4
gm. Łopuszno,kielecki,świętokrzyskie,57,409,3175,366,4,181,10,9,480,5,16
gm. Masłów,kielecki,świętokrzyskie,83,524,3064,747,18,194,6,9,1369,5,8
gm. Miedziana Góra,kielecki,świętokrzyskie,102,512,3225,820,22,215,9,12,1278,3,15
gm. Mniów,kielecki,świętokrzyskie,35,364,3364,345,4,126,1,5,423,2,10
gm. Morawica,kielecki,świętokrzyskie,144,687,4640,994,8,234,8,9,1935,9,21
gm. Nowa Słupia,kielecki,świętokrzyskie,73,298,2972,316,6,103,9,3,616,1,12
gm. Piekoszów,kielecki,świętokrzyskie,110,761,5305,865,18,184,22,17,1196,7,20
gm. Pierzchnica,kielecki,świętokrzyskie,23,130,1682,190,2,76,1,1,276,2,3
gm. Raków,kielecki,świętokrzyskie,32,170,1947,228,6,127,5,3,368,5,2
gm. Sitkówka-Nowiny,kielecki,świętokrzyskie,75,417,1817,485,9,108,5,3,1067,4,8
gm. Strawczyn,kielecki,świętokrzyskie,63,562,3687,502,12,149,6,5,613,3,12
gm. Zagnańsk,kielecki,świętokrzyskie,134,539,3814,862,15,146,12,10,1510,2,16
gm. Fałków,konecki,świętokrzyskie,23,96,1665,152,3,72,2,1,220,1,3
gm. Gowarczów,konecki,świętokrzyskie,51,135,1569,192,4,70,2,1,282,2,4
gm. Końskie,konecki,świętokrzyskie,478,1236,9973,1896,23,502,21,19,4263,17,37
gm. Radoszyce,konecki,świętokrzyskie,34,325,3053,251,9,125,5,7,407,2,6
gm. Ruda Maleniecka,konecki,świętokrzyskie,20,94,1128,107,3,84,1,3,265,1,2
Słupia Konecka,konecki,świętokrzyskie,22,104,1166,129,1,89,2,1,157,0,3
gm. Smyków,konecki,świętokrzyskie,24,136,1357,177,2,48,1,3,195,2,3
gm. Stąporków,konecki,świętokrzyskie,198,511,4557,809,20,205,14,10,1643,11,12
gm. Baćkowice,opatowski,świętokrzyskie,24,142,1723,121,3,90,0,4,199,2,6
gm. Iwaniska,opatowski,świętokrzyskie,26,131,2480,198,2,119,1,7,296,1,6
gm. Lipnik,opatowski,świętokrzyskie,31,109,1680,202,4,112,4,0,258,2,3
gm. Opatów,opatowski,świętokrzyskie,110,291,3424,520,6,244,5,7,1064,6,20
gm. Ożarów,opatowski,świętokrzyskie,95,299,2879,484,5,277,8,9,843,4,14
gm. Sadowie,opatowski,świętokrzyskie,38,98,1306,143,1,110,1,2,241,0,6
gm. Tarłów,opatowski,świętokrzyskie,36,130,1693,173,6,92,2,5,223,0,4
gm. Wojciechowice,opatowski,świętokrzyskie,35,147,1111,174,7,171,5,3,223,0,2
m. Ostrowiec Świętokrzyski,ostrowiecki,świętokrzyskie,796,1881,14499,3723,34,617,38,36,9568,34,47
gm. Bałtów,ostrowiecki,świętokrzyskie,25,144,1058,190,3,62,1,6,273,3,6
gm. Bodzechów,ostrowiecki,świętokrzyskie,132,415,3385,740,18,175,5,13,1342,10,22
gm. Ćmielów,ostrowiecki,świętokrzyskie,74,210,1803,321,8,99,0,8,647,7,13
gm. Kunów,ostrowiecki,świętokrzyskie,75,307,2645,496,8,101,1,6,918,8,7
gm. Waśniów,ostrowiecki,świętokrzyskie,24,185,2140,197,3,109,2,1,248,7,3
gm. Działoszyce,pińczowski,świętokrzyskie,25,85,1580,152,1,169,0,0,286,0,6
gm. Kije,pińczowski,świętokrzyskie,31,190,1495,194,5,95,0,2,247,0,7
gm. Michałów,pińczowski,świętokrzyskie,25,93,1492,137,1,95,1,1,296,0,1
gm. Pińczów,pińczowski,świętokrzyskie,176,664,5832,965,21,326,8,2,2318,15,17
gm. Złota,pińczowski,świętokrzyskie,31,96,1411,144,2,98,3,1,297,4,8
m. Sandomierz,sandomierski,świętokrzyskie,289,915,4933,1491,21,436,17,21,3790,10,22
gm. Dwikozy,sandomierski,świętokrzyskie,77,298,2145,363,3,337,3,0,679,4,3
gm. Klimontów,sandomierski,świętokrzyskie,51,195,2449,290,3,169,2,2,516,4,6
gm. Koprzywnica,sandomierski,świętokrzyskie,33,206,2275,236,5,193,3,3,442,0,4
gm. Łoniów,sandomierski,świętokrzyskie,32,236,2514,245,4,227,1,5,410,0,8
gm. Obrazów,sandomierski,świętokrzyskie,44,216,1880,247,7,246,2,1,412,1,6
gm. Samborzec,sandomierski,świętokrzyskie,41,328,2492,315,10,436,1,4,552,6,10
gm. Wilczyce,sandomierski,świętokrzyskie,20,142,995,122,3,198,5,3,234,2,9
gm. Zawichost,sandomierski,świętokrzyskie,41,91,1217,145,3,150,4,1,338,2,4
m. Skarżysko-Kamienna,skarżyski,świętokrzyskie,504,1479,9967,2699,36,414,35,25,7075,25,65
gm. Bliżyn,skarżyski,świętokrzyskie,64,299,2268,381,4,59,3,5,903,2,8
gm. Łączna,skarżyski,świętokrzyskie,36,235,1769,259,4,56,1,0,295,1,5
gm. Skarżysko Kościelne,skarżyski,świętokrzyskie,49,264,1706,328,7,92,3,2,555,4,5
gm. Suchedniów,skarżyski,świętokrzyskie,82,391,2470,719,13,114,5,8,1378,7,10
m. Starachowice,starachowicki,świętokrzyskie,534,1711,10259,3195,42,387,22,34,7314,20,40
gm. Brody,starachowicki,świętokrzyskie,81,430,3164,582,13,116,2,5,859,3,5
gm. Mirzec,starachowicki,świętokrzyskie,32,359,2709,403,8,147,5,5,497,3,9
gm. Pawłów,starachowicki,świętokrzyskie,67,576,4981,578,11,145,8,4,642,6,7
gm. Wąchock,starachowicki,świętokrzyskie,52,241,1870,423,7,66,5,4,804,3,3
gm. Bogoria,staszowski,świętokrzyskie,44,210,2657,322,4,123,5,0,375,1,11
gm. Łubnice,staszowski,świętokrzyskie,17,158,1516,129,3,90,1,0,150,1,1
gm. Oleśnica,staszowski,świętokrzyskie,23,69,1203,174,2,59,2,3,198,3,5
gm. Osiek,staszowski,świętokrzyskie,49,228,3210,175,5,94,3,2,227,0,7
gm. Połaniec,staszowski,świętokrzyskie,81,404,3701,547,12,178,10,2,1023,10,5
gm. Rytwiany,staszowski,świętokrzyskie,64,231,2034,266,4,87,2,1,374,1,4
gm. Staszów,staszowski,świętokrzyskie,212,724,7259,1252,27,380,8,9,2470,6,18
gm. Szydłów,staszowski,świętokrzyskie,29,135,1593,184,1,129,5,1,242,1,2
gm. Kluczewsko,włoszczowski,świętokrzyskie,42,177,2001,204,3,120,3,4,253,4,2
gm. Krasocin,włoszczowski,świętokrzyskie,58,461,3615,450,12,144,5,6,614,2,7
gm. Moskorzew,włoszczowski,świętokrzyskie,37,68,973,99,1,48,1,0,144,4,1
gm. Radków,włoszczowski,świętokrzyskie,12,73,797,108,2,87,0,0,168,1,4
gm. Secemin,włoszczowski,świętokrzyskie,37,154,1526,186,4,102,3,1,320,2,6
gm. Włoszczowa,włoszczowski,świętokrzyskie,208,760,5902,948,19,453,9,12,1634,7,26
m. Kielce,Kielce,świętokrzyskie,2292,7479,41013,12742,183,2119,95,143,35147,137,232
m. Bartoszyce,bartoszycki,warmińsko-mazurskie,221,653,4109,1638,11,196,10,25,3792,13,27
m. Górowo Iławeckie,bartoszycki,warmińsko-mazurskie,28,86,667,188,2,33,0,0,692,0,2
gm. Bartoszyce,bartoszycki,warmińsko-mazurskie,61,306,2084,599,6,151,1,7,983,5,9
gm. Bisztynek,bartoszycki,warmińsko-mazurskie,38,155,1019,316,2,40,1,4,667,0,5
gm. Górowo Iławeckie,bartoszycki,warmińsko-mazurskie,45,136,1180,340,2,80,4,1,910,7,4
gm. Sępopol,bartoszycki,warmińsko-mazurskie,39,102,1171,319,8,51,2,2,529,1,5
m. Braniewo,braniewski,warmińsko-mazurskie,161,450,2542,1470,6,170,9,10,2624,10,17
gm. Braniewo,braniewski,warmińsko-mazurskie,27,134,982,383,1,102,2,3,505,2,5
gm. Frombork,braniewski,warmińsko-mazurskie,33,106,581,244,3,39,0,4,570,4,2
gm. Lelkowo,braniewski,warmińsko-mazurskie,22,48,511,109,0,28,0,0,229,1,2
gm. Pieniężno,braniewski,warmińsko-mazurskie,39,125,1328,324,1,63,1,2,566,0,1
gm. Płoskinia,braniewski,warmińsko-mazurskie,12,58,432,179,2,27,3,3,234,1,2
gm. Wilczęta,braniewski,warmińsko-mazurskie,25,56,536,127,0,51,1,4,278,1,1
m. Działdowo,działdowski,warmińsko-mazurskie,195,475,4127,1926,18,220,6,14,3039,11,15
gm. Działdowo,działdowski,warmińsko-mazurskie,43,193,2099,634,8,87,2,1,696,2,12
gm. Iłowo-Osada,działdowski,warmińsko-mazurskie,57,243,1639,439,5,79,1,3,620,3,2
gm. Lidzbark,działdowski,warmińsko-mazurskie,115,361,3172,876,7,185,5,7,1434,5,12
gm. Płośnica,działdowski,warmińsko-mazurskie,41,138,1393,311,3,121,1,2,392,1,1
gm. Rybno,działdowski,warmińsko-mazurskie,42,201,1942,442,4,100,5,3,636,2,4
gm. Elbląg,elbląski,warmińsko-mazurskie,63,192,1267,506,7,78,2,4,959,4,9
gm. Godkowo,elbląski,warmińsko-mazurskie,23,50,674,139,0,36,1,0,204,0,0
gm. Gronowo Elbląskie,elbląski,warmińsko-mazurskie,37,111,810,313,4,50,1,0,617,3,3
gm. Markusy,elbląski,warmińsko-mazurskie,24,66,742,215,3,39,1,0,346,0,2
gm. Milejewo,elbląski,warmińsko-mazurskie,16,127,629,229,2,42,0,0,436,1,2
gm. Młynary,elbląski,warmińsko-mazurskie,24,111,827,260,2,63,1,4,525,2,2
gm. Pasłęk,elbląski,warmińsko-mazurskie,136,497,3133,1178,13,233,6,8,2790,12,18
gm. Rychliki,elbląski,warmińsko-mazurskie,20,60,634,191,6,62,1,1,357,0,2
gm. Tolkmicko,elbląski,warmińsko-mazurskie,45,167,1185,439,2,73,3,2,760,1,4
m. Ełk,ełcki,warmińsko-mazurskie,518,2203,9494,4011,37,522,36,44,7777,24,66
gm. Ełk,ełcki,warmińsko-mazurskie,89,418,1986,714,13,125,8,14,1322,5,12
gm. Kalinowo,ełcki,warmińsko-mazurskie,36,170,1404,280,4,61,2,2,429,2,8
gm. Prostki,ełcki,warmińsko-mazurskie,31,128,1388,315,10,57,5,3,473,4,6
gm. Stare Juchy,ełcki,warmińsko-mazurskie,20,116,652,200,1,38,0,1,481,0,5
m. Giżycko,giżycki,warmińsko-mazurskie,287,850,4375,2232,22,293,15,28,5812,19,26
gm. Giżycko,giżycki,warmińsko-mazurskie,92,258,1556,780,12,101,2,7,1813,6,14
gm. Kruklanki,giżycki,warmińsko-mazurskie,35,91,487,241,2,53,4,1,535,3,1
gm. Miłki,giżycki,warmińsko-mazurskie,23,107,769,251,6,65,3,4,619,1,7
gm. Ryn,giżycki,warmińsko-mazurskie,59,191,1167,394,4,67,4,3,1013,2,3
gm. Wydminy,giżycki,warmińsko-mazurskie,33,167,1196,378,1,144,6,2,675,5,6
m. Iława,iławski,warmińsko-mazurskie,436,1067,6380,2270,37,348,14,30,6075,27,27
m. Lubawa,iławski,warmińsko-mazurskie,105,419,2145,733,6,112,4,5,1294,10,6
gm. Iława,iławski,warmińsko-mazurskie,106,458,2569,718,10,200,5,7,1467,7,15
gm. Kisielice,iławski,warmińsko-mazurskie,27,128,1403,255,6,65,2,6,503,2,3
gm. Lubawa,iławski,warmińsko-mazurskie,53,425,3047,572,15,163,10,5,581,5,13
gm. Susz,iławski,warmińsko-mazurskie,110,391,2462,550,3,96,4,6,1220,4,8
gm. Zalewo,iławski,warmińsko-mazurskie,46,168,1172,397,3,59,1,8,695,2,4
m. Kętrzyn,kętrzyński,warmińsko-mazurskie,287,708,4331,1942,14,277,11,15,4593,15,20
gm. Barciany,kętrzyński,warmińsko-mazurskie,36,97,1065,227,2,93,3,3,500,2,3
gm. Kętrzyn,kętrzyński,warmińsko-mazurskie,70,218,1276,483,6,113,5,4,802,2,3
gm. Korsze,kętrzyński,warmińsko-mazurskie,97,242,1779,447,5,88,3,2,916,2,7
gm. Reszel,kętrzyński,warmińsko-mazurskie,77,208,1290,490,9,99,3,10,1107,0,7
gm. Srokowo,kętrzyński,warmińsko-mazurskie,33,78,660,224,3,60,3,7,453,2,4
m. Lidzbark Warmiński,lidzbarski,warmińsko-mazurskie,165,474,2338,980,13,190,12,7,2975,11,11
gm. Kiwity,lidzbarski,warmińsko-mazurskie,17,122,681,167,0,57,0,0,307,0,2
gm. Lidzbark Warmiński,lidzbarski,warmińsko-mazurskie,52,187,1103,349,5,78,4,4,722,5,4
gm. Lubomino,lidzbarski,warmińsko-mazurskie,27,88,661,155,0,35,0,2,339,2,3
gm. Orneta,lidzbarski,warmińsko-mazurskie,93,275,2170,596,6,103,1,6,1555,5,6
m. Mrągowo,mrągowski,warmińsko-mazurskie,236,702,3595,1707,16,226,7,19,3714,12,22
gm. Mikołajki,mrągowski,warmińsko-mazurskie,87,247,1470,729,8,86,2,10,1741,5,4
gm. Mrągowo,mrągowski,warmińsko-mazurskie,58,279,1367,577,8,105,1,4,1108,2,5
gm. Piecki,mrągowski,warmińsko-mazurskie,56,265,1499,546,4,99,2,5,916,4,5
gm. Sorkwity,mrągowski,warmińsko-mazurskie,29,135,876,264,1,59,2,3,681,2,1
gm. Janowiec Kościelny,nidzicki,warmińsko-mazurskie,20,87,880,103,2,56,2,0,220,1,0
gm. Janowo,nidzicki,warmińsko-mazurskie,19,84,637,106,2,31,0,3,210,0,4
gm. Kozłowo,nidzicki,warmińsko-mazurskie,34,139,1285,230,4,52,1,3,379,2,2
gm. Nidzica,nidzicki,warmińsko-mazurskie,162,621,4208,1218,19,207,8,6,2891,10,19
m. Nowe Miasto Lubawskie,nowomiejski,warmińsko-mazurskie,95,259,2026,721,6,151,6,5,1575,11,11
gm. Biskupiec,nowomiejski,warmińsko-mazurskie,56,228,2211,394,5,227,5,10,859,2,5
gm. Grodziczno,nowomiejski,warmińsko-mazurskie,32,172,2041,289,4,97,7,2,376,2,11
gm. Kurzętnik,nowomiejski,warmińsko-mazurskie,53,249,2415,403,7,174,7,4,658,3,6
gm. Nowe Miasto Lubawskie,nowomiejski,warmińsko-mazurskie,60,218,1990,490,6,152,6,3,666,1,10
gm. Kowale Oleckie,olecki,warmińsko-mazurskie,38,122,817,233,3,37,3,1,339,3,3
gm. Olecko,olecki,warmińsko-mazurskie,157,604,3984,1473,14,218,6,17,2601,4,19
gm. Świętajno,olecki,warmińsko-mazurskie,14,85,702,196,3,30,2,3,331,0,3
gm. Wieliczki,olecki,warmińsko-mazurskie,23,140,743,142,2,33,0,4,207,1,0
gm. Barczewo,olsztyński,warmińsko-mazurskie,226,637,2928,1242,16,188,10,16,3149,7,13
gm. Biskupiec,olsztyński,warmińsko-mazurskie,152,422,3052,1054,17,237,6,9,2822,4,15
gm. Dobre Miasto,olsztyński,warmińsko-mazurskie,136,650,2787,968,10,155,10,8,2096,6,12
gm. Dywity,olsztyński,warmińsko-mazurskie,164,452,1792,1173,15,149,5,12,2471,4,14
gm. Gietrzwałd,olsztyński,warmińsko-mazurskie,86,237,1007,544,11,78,2,6,1338,1,5
gm. Jeziorany,olsztyński,warmińsko-mazurskie,77,245,1348,340,7,108,3,7,743,4,5
gm. Jonkowo,olsztyński,warmińsko-mazurskie,94,271,1039,640,10,91,2,8,1393,8,11
gm. Kolno,olsztyński,warmińsko-mazurskie,21,84,598,151,5,42,4,5,286,0,1
gm. Olsztynek,olsztyński,warmińsko-mazurskie,137,418,2492,739,7,150,3,10,2191,9,11
gm. Purda,olsztyński,warmińsko-mazurskie,104,276,1415,615,5,94,2,8,1514,11,8
gm. Stawiguda,olsztyński,warmińsko-mazurskie,157,496,1397,1217,20,151,4,8,2811,8,11
gm. Świątki,olsztyński,warmińsko-mazurskie,36,114,726,215,4,46,1,3,359,4,2
m. Ostróda,ostródzki,warmińsko-mazurskie,411,853,5132,2624,24,311,11,20,6365,20,29
gm. Dąbrówno,ostródzki,warmińsko-mazurskie,46,113,933,197,3,24,0,0,377,0,4
gm. Grunwald,ostródzki,warmińsko-mazurskie,41,92,1078,269,7,76,2,2,527,1,10
gm. Łukta,ostródzki,warmińsko-mazurskie,35,143,688,343,3,60,2,4,703,3,3
gm. Małdyty,ostródzki,warmińsko-mazurskie,48,121,994,409,8,60,3,5,616,4,0
gm. Miłakowo,ostródzki,warmińsko-mazurskie,34,146,980,292,3,63,2,3,568,5,2
gm. Miłomłyn,ostródzki,warmińsko-mazurskie,45,127,822,350,3,40,3,2,747,1,4
gm. Morąg,ostródzki,warmińsko-mazurskie,198,557,4097,1636,6,216,9,8,3646,12,21
gm. Ostróda,ostródzki,warmińsko-mazurskie,183,552,2884,1157,14,234,14,13,2043,10,16
gm. Biała Piska,piski,warmińsko-mazurskie,37,266,2525,401,5,87,0,5,851,0,3
gm. Orzysz,piski,warmińsko-mazurskie,73,253,1769,574,3,142,2,4,1059,4,5
gm. Pisz,piski,warmińsko-mazurskie,190,1020,5976,1337,15,273,12,19,2911,8,21
gm. Ruciane-Nida,piski,warmińsko-mazurskie,74,386,1883,541,8,103,4,10,1635,2,9
m. Szczytno,szczycieński,warmińsko-mazurskie,266,685,4663,1483,23,299,11,24,3860,12,22
gm. Dźwierzuty,szczycieński,warmińsko-mazurskie,50,179,1257,323,6,98,2,1,679,4,3
gm. Jedwabno,szczycieński,warmińsko-mazurskie,47,99,816,283,1,47,2,6,630,6,4
gm. Pasym,szczycieński,warmińsko-mazurskie,40,223,1073,377,1,61,1,1,738,3,4
gm. Rozogi,szczycieński,warmińsko-mazurskie,18,163,1396,209,4,72,0,4,290,2,1
gm. Szczytno,szczycieński,warmińsko-mazurskie,142,405,2617,790,12,164,5,6,1706,23,12
gm. Świętajno,szczycieński,warmińsko-mazurskie,64,158,1405,314,7,81,1,3,784,4,4
gm. Wielbark,szczycieński,warmińsko-mazurskie,28,152,1346,307,4,91,0,3,499,0,0
gm. Banie Mazurskie,gołdapski,warmińsko-mazurskie,30,60,596,250,1,42,1,3,398,0,1
gm. Dubeninki,gołdapski,warmińsko-mazurskie,22,54,600,164,3,24,2,0,225,2,1
gm. Gołdap,gołdapski,warmińsko-mazurskie,160,482,3061,1541,14,147,6,12,2707,8,15
gm. Budry,węgorzewski,warmińsko-mazurskie,20,59,574,142,1,46,2,1,220,1,2
gm. Pozezdrze,węgorzewski,warmińsko-mazurskie,28,69,628,228,4,51,5,5,451,3,4
gm. Węgorzewo,węgorzewski,warmińsko-mazurskie,159,493,2661,1172,12,210,11,9,2912,8,18
m. Elbląg,Elbląg,warmińsko-mazurskie,1341,3164,19753,8285,84,1022,44,82,20374,78,106
m. Olsztyn,Olsztyn,warmińsko-mazurskie,2884,6494,25976,13196,159,1755,109,152,36313,134,229
m. Chodzież,chodzieski,wielkopolskie,239,460,2709,1898,9,221,13,8,4122,23,19
gm. Budzyń,chodzieski,wielkopolskie,77,210,1431,724,3,144,3,4,1265,9,8
gm. Chodzież,chodzieski,wielkopolskie,62,159,966,647,4,102,0,3,983,4,8
gm. Margonin,chodzieski,wielkopolskie,59,175,1194,638,7,173,5,4,1035,1,7
gm. Szamocin,chodzieski,wielkopolskie,63,198,1352,772,6,111,2,4,885,0,5
m. Czarnków,czarnkowsko-trzcianecki,wielkopolskie,118,293,1620,985,5,120,7,9,2219,16,6
gm. Czarnków,czarnkowsko-trzcianecki,wielkopolskie,77,307,2120,988,6,176,10,9,1433,7,7
gm. Drawsko,czarnkowsko-trzcianecki,wielkopolskie,50,136,1381,541,3,91,3,5,677,7,8
gm. Krzyż Wielkopolski,czarnkowsko-trzcianecki,wielkopolskie,68,166,1469,788,4,65,1,7,1259,10,4
gm. Lubasz,czarnkowsko-trzcianecki,wielkopolskie,75,250,1440,657,4,163,1,8,1092,6,10
gm. Połajewo,czarnkowsko-trzcianecki,wielkopolskie,37,196,1416,519,5,100,1,2,626,5,6
gm. Trzcianka,czarnkowsko-trzcianecki,wielkopolskie,185,603,3621,2105,10,283,11,14,4210,18,18
gm. Wieleń,czarnkowsko-trzcianecki,wielkopolskie,101,207,2459,1084,5,174,9,7,1491,7,9
m. Gniezno,gnieźnieński,wielkopolskie,895,1983,11569,6502,53,482,33,37,12271,48,97
gm. Czerniejewo,gnieźnieński,wielkopolskie,68,226,1779,657,3,102,7,2,996,4,7
gm. Gniezno,gnieźnieński,wielkopolskie,144,421,2242,1286,13,218,5,8,1764,9,15
gm. Kiszkowo,gnieźnieński,wielkopolskie,51,154,1178,425,3,107,2,1,650,3,5
gm. Kłecko,gnieźnieński,wielkopolskie,74,222,1793,646,3,116,0,4,785,6,4
gm. Łubowo,gnieźnieński,wielkopolskie,70,180,1309,652,3,84,1,2,934,3,6
gm. Mieleszyn,gnieźnieński,wielkopolskie,40,97,936,289,1,57,0,3,343,2,0
gm. Niechanowo,gnieźnieński,wielkopolskie,52,191,1441,506,4,76,3,4,580,8,6
gm. Trzemeszno,gnieźnieński,wielkopolskie,134,357,2725,1060,13,182,7,9,1600,12,18
gm. Witkowo,gnieźnieński,wielkopolskie,141,363,3033,1118,9,152,11,17,1879,10,12
gm. Borek Wielkopolski,gostyński,wielkopolskie,55,230,1714,539,2,123,3,10,655,6,7
gm. Gostyń,gostyński,wielkopolskie,283,1416,5661,2176,28,386,8,12,3927,27,30
gm. Krobia,gostyński,wielkopolskie,100,535,3082,736,9,138,4,6,1189,8,13
gm. Pępowo,gostyński,wielkopolskie,36,290,1619,323,8,100,3,1,530,2,6
gm. Piaski,gostyński,wielkopolskie,68,427,1915,508,6,124,4,9,945,8,8
gm. Pogorzela,gostyński,wielkopolskie,29,171,1107,297,3,123,0,3,428,1,5
gm. Poniec,gostyński,wielkopolskie,60,313,1736,419,5,92,6,3,670,5,4
gm. Granowo,grodziski,wielkopolskie,39,183,1204,380,5,72,2,3,509,7,7
gm. Grodzisk Wielkopolski,grodziski,wielkopolskie,209,646,3669,1982,13,224,7,10,2824,10,18
gm. Kamieniec,grodziski,wielkopolskie,47,166,1500,476,3,116,0,2,641,6,6
gm. Rakoniewice,grodziski,wielkopolskie,109,471,2642,1037,8,190,13,6,1550,9,12
gm. Wielichowo,grodziski,wielkopolskie,51,203,1686,601,4,124,3,6,652,7,11
gm. Jaraczewo,jarociński,wielkopolskie,54,218,2302,472,5,178,2,3,639,8,9
gm. Jarocin,jarociński,wielkopolskie,472,1171,9555,3805,29,490,21,34,6375,40,56
gm. Kotlin,jarociński,wielkopolskie,50,231,1826,436,7,113,2,6,622,3,6
